Date,Price,Open,High,Low,Vol.,Change %
"Nov 03, 2015","1,239.23","1,252.60","1,254.75","1,236.04",,-1.19%
"Nov 02, 2015","1,254.21","1,254.31","1,262.11","1,250.31",,-0.13%
"Oct 30, 2015","1,255.90","1,252.46","1,262.74","1,246.18",,0.17%
"Oct 29, 2015","1,253.72","1,250.72","1,259.47","1,242.51",,0.21%
"Oct 28, 2015","1,251.05","1,254.33","1,255.62","1,233.44",,-0.34%
"Oct 27, 2015","1,255.26","1,247.81","1,258.41","1,246.55",,0.50%
"Oct 26, 2015","1,248.97","1,249.31","1,255.72","1,245.12",,-0.21%
"Oct 23, 2015","1,251.60","1,254.38","1,259.30","1,244.61",,-0.31%
"Oct 22, 2015","1,255.43","1,291.25","1,295.40","1,253.01",,-2.88%
"Oct 21, 2015","1,292.72","1,282.31","1,295.45","1,280.16",,0.69%
"Oct 20, 2015","1,283.90","1,280.81","1,288.83","1,276.18",,0.15%
"Oct 19, 2015","1,282.00","1,283.13","1,288.39","1,269.32",,-0.14%
"Oct 16, 2015","1,283.79","1,277.11","1,289.40","1,274.85",,0.42%
"Oct 15, 2015","1,278.36","1,303.34","1,308.14","1,274.67",,-2.01%
"Oct 14, 2015","1,304.55","1,307.43","1,316.53","1,301.36",,-0.35%
"Oct 13, 2015","1,309.14","1,298.06","1,312.52","1,297.43",,0.76%
"Oct 12, 2015","1,299.25","1,302.26","1,308.29","1,295.01",,-0.36%
"Oct 09, 2015","1,303.95","1,299.20","1,308.33","1,291.45",,0.27%
"Oct 08, 2015","1,300.45","1,300.68","1,315.70","1,297.23",,-0.12%
"Oct 07, 2015","1,301.98","1,307.86","1,317.20","1,291.20",,-0.56%
"Oct 06, 2015","1,309.28","1,297.94","1,313.55","1,297.27",,0.82%
"Oct 05, 2015","1,298.64","1,314.91","1,320.03","1,294.68",,-1.24%
"Oct 02, 2015","1,314.99","1,318.33","1,340.00","1,313.30",,-0.36%
"Oct 01, 2015","1,319.68","1,323.61","1,325.80","1,308.34",,-0.39%
"Sep 30, 2015","1,324.80","1,343.80","1,347.60","1,321.68",,-1.53%
"Sep 29, 2015","1,345.40","1,343.58","1,350.62","1,336.19",,0.03%
"Sep 28, 2015","1,345.01","1,334.41","1,345.41","1,330.09",,0.71%
"Sep 25, 2015","1,335.58","1,336.17","1,340.98","1,323.56",,-0.15%
"Sep 24, 2015","1,337.65","1,335.30","1,353.47","1,326.39",,0.07%
"Sep 23, 2015","1,336.72","1,316.99","1,340.43","1,313.56",,1.39%
"Sep 22, 2015","1,318.35","1,317.10","1,326.12","1,313.44",,-0.02%
"Sep 21, 2015","1,318.63","1,322.84","1,333.05","1,316.93",,-0.57%
"Sep 18, 2015","1,326.18","1,333.20","1,337.64","1,318.89",,-0.62%
"Sep 17, 2015","1,334.51","1,319.93","1,335.09","1,313.96",,1.01%
